Region,Tower_ID,Date,Call_Drops,Signal_Strength,Congestion_Level,Handoff_Failure,Notes
Hyderabad,T123,2025-09-01,56,-95 dBm,High,12%,Heavy user load
Delhi,T456,2025-09-01,34,-88 dBm,Medium,8%,Poor weather
Mumbai,T789,2025-09-01,22,-75 dBm,Low,2%,Normal operation
Chennai,T234,2025-09-02,47,-92 dBm,Medium,10%,Network maintenance
Bengaluru,T567,2025-09-02,65,-97 dBm,High,15%,Peak hour traffic
Kolkata,T890,2025-09-03,38,-85 dBm,Medium,7%,Monsoon interference
Pune,T321,2025-09-03,28,-80 dBm,Low,4%,Normal operation
Ahmedabad,T654,2025-09-04,51,-90 dBm,Medium,9%,Fiber cut reported
Lucknow,T987,2025-09-04,63,-99 dBm,High,13%,Power fluctuation
Jaipur,T159,2025-09-05,42,-89 dBm,Medium,8%,Maintenance in progress
Bhopal,T753,2025-09-05,49,-91 dBm,Medium,10%,Heavy user load
Indore,T852,2025-09-06,68,-96 dBm,High,14%,Peak hour congestion
Nagpur,T951,2025-09-06,31,-83 dBm,Low,3%,Normal operation
Raipur,T258,2025-09-07,55,-93 dBm,Medium,9%,Rain interference
Chandigarh,T369,2025-09-07,60,-94 dBm,High,11%,User load during event
Surat,T147,2025-09-08,45,-88 dBm,Medium,8%,Fiber maintenance
Kochi,T258,2025-09-08,33,-82 dBm,Low,4%,Normal operation
Patna,T369,2025-09-09,72,-100 dBm,High,16%,Poor weather
Bhubaneswar,T741,2025-09-09,40,-87 dBm,Medium,8%,Rain interference
Guwahati,T852,2025-09-10,66,-98 dBm,High,15%,Peak hour traffic
Delhi,T963,2025-09-10,29,-79 dBm,Low,3%,Clear weather
Mumbai,T357,2025-09-11,58,-92 dBm,Medium,10%,Tower sharing issue
Pune,T159,2025-09-11,75,-99 dBm,High,14%,Festival data spike
Hyderabad,T951,2025-09-12,64,-95 dBm,High,13%,Evening congestion
Chennai,T753,2025-09-12,36,-84 dBm,Low,5%,Normal operation
Bengaluru,T456,2025-09-13,71,-98 dBm,High,15%,Peak hour usage
Kolkata,T789,2025-09-13,53,-91 dBm,Medium,9%,High data demand
Ahmedabad,T852,2025-09-14,41,-86 dBm,Low,6%,Normal operation
Bhopal,T963,2025-09-14,59,-94 dBm,Medium,10%,Moderate congestion
Indore,T654,2025-09-15,77,-101 dBm,High,17%,Overloaded tower
Raipur,T357,2025-09-15,48,-89 dBm,Medium,8%,Weather interference
